172	acet/at/a acid/o⟦醋/盐ᴬ/a 酸/o⟧:【化】酢酸##偽分解(PIV正式分解)
173	acet/at/o⟦醋/盐ᴬ/o⟧:【化】酢酸塩##偽分解(PIV正式分解)
246	adenozin-tri/fosf/at/a⟦adenozin-三/磷/盐ᴬ/a⟧:【化】アデノシン三リン酸塩の（ＡＴＰ）##偽分解(PIV正式分解)
282	administr/ator/o⟦管ᴬ/员ᴬᵀ/o⟧:=administranto（管理者）##偽分解(PIV正式分解)
414	aer/o/bi/a⟦气/o/生ᴮᴵ/a⟧:【生】好気性の,=aerbezona##偽分解##過細分解 aer/o/b/i/a
416	aer/o/drom/o⟦气/o/道ᴰ/o⟧:【空】飛行場,=flugkampo##偽分解(PIV正式分解)
420	aer/o/lit/o⟦气/o/石ᴸ/o⟧:{Ｏ}【鉱】【天】隕石（いんせき）,=meteors^tono##偽分解##過細分解 aer/o/l/i/t/o
421	aer/o/metr/o⟦气/o/计ᴹ/o⟧:【理】気量計,空気計##偽分解
422	aer/o/nau^t/ik/o⟦气/o/航/学ᴵ/o⟧:【空】航空学,航空術,>>aerveturado##偽分解
423	aer/o/nau^t/o⟦气/o/航/o⟧:【空】軽気球操縦士,飛行船操縦士,=flugbalonisto##偽分解
424	aer/o/plan/o⟦气/o/划/o⟧:{Ｏ}【空】飛行機,=aviadilo##偽分解##過細分解 aer/o/p/l/a/n/o
429	aer/o/stat/o⟦气/o/态/o⟧:【空】軽航空機（気球・飛行船など）,=flugbalono,>>aers^ipo,>>balono##偽分解
506	a/fon/i/o⟦无ᴬ/声ᶠᴼ/i/o⟧:【病】失声症##偽分解
507	afor/ism/o⟦afor/主义/o⟧:{Ｏ}【文】アフォリズム,警句,金言,>>maksimo,>>proverbo,>>sentenco##偽分解##強語根分解
508	afor/ism/ul/o⟦afor/主义/者/o⟧:警句家##偽分解##強語根分解
552	ag/end/o⟦办/须/o⟧:スケジュール帳,日程表;議事日程,=tagordo##偽分解
587	agnostik/ism/o⟦不可知/主义/o⟧:【哲】不可知論##偽分解(PIV正式分解)
